,Age,Catagory,Size,Color
411,24,2,0,2
412,34,3,2,1
413,31,2,1,3
414,23,1,0,1
415,29,3,1,1
416,29,3,1,3
417,16,2,0,0
418,39,0,1,1
419,25,0,2,1
420,36,2,1,2
421,36,0,2,1
422,25,0,2,0
423,16,1,2,0
424,38,0,1,0
425,35,1,1,2
426,27,1,2,3
427,34,1,1,0
428,41,3,2,3
429,38,1,2,0
430,25,2,2,0
431,28,0,1,2
432,38,2,0,0
433,24,3,0,0
434,36,2,0,1
435,37,3,1,2
436,33,2,2,2
437,29,2,0,2
438,16,3,2,0
439,36,3,1,1
440,32,3,2,3
441,21,2,1,2
442,29,3,0,2
443,20,1,2,2
444,25,2,1,0
445,34,1,1,0
446,33,2,0,0
447,34,3,2,3
448,30,3,2,0
449,19,2,0,3
450,25,0,0,3
451,39,3,1,0
452,28,2,0,1
453,35,3,0,0
454,29,0,0,2
455,18,2,0,3
456,35,3,1,3
457,35,0,2,1
458,18,1,0,2
459,22,2,2,0
460,23,2,0,0
461,26,3,1,0
462,39,0,1,2
463,35,2,2,0
464,36,3,2,0
465,34,1,2,2
466,16,0,0,0
467,31,1,0,2
468,31,1,2,2
469,21,2,1,1
470,34,0,1,0
471,22,0,2,0
472,24,0,2,1
473,31,0,2,0
474,32,1,0,1
475,37,1,1,1
476,22,3,2,1
477,23,3,1,2
478,30,0,0,0
479,39,3,0,1
480,37,3,2,0
481,20,1,2,2
482,37,2,1,3
483,39,1,0,2
484,34,0,0,3
485,38,2,0,0
486,30,1,1,0
487,38,1,2,3
488,35,0,0,0
489,28,3,1,0
490,30,2,0,1
491,16,1,1,1
492,23,2,1,0
493,38,0,2,0
494,41,2,0,1
495,38,3,0,2
496,39,0,2,0
497,21,0,0,3
498,37,3,1,0
499,19,1,0,0
500,23,3,0,2
501,33,1,0,3
502,38,2,1,1
503,41,2,1,1
504,22,2,2,1
505,23,0,1,1
506,34,2,0,0
507,36,3,0,0
508,39,1,2,2
509,27,1,2,1
510,21,2,1,2
511,25,2,1,1
512,32,2,2,1
513,18,3,1,1
514,30,1,0,1
515,18,3,1,0
516,41,3,2,1
517,18,2,2,0
518,27,3,1,0
519,37,1,0,0
520,28,2,0,0
521,23,1,0,2
522,23,2,1,0
523,16,0,1,3
524,38,2,0,2
525,27,2,2,0
526,22,3,1,0
527,26,3,0,3
528,22,2,0,2
529,34,2,1,0
530,20,0,2,0
531,23,3,2,0
532,18,0,2,2
533,36,1,2,2
534,20,1,0,2
535,38,1,0,2
536,36,1,0,3
537,30,0,0,1
538,21,3,2,2
539,26,3,0,0
540,38,0,0,1
541,36,1,1,2
542,31,3,1,3
543,21,0,0,2
544,22,1,1,0
545,24,1,1,0
546,26,2,1,0
547,30,3,0,0
548,17,1,1,1
549,26,2,1,3
550,34,1,0,3
551,16,2,0,0
552,30,2,1,1
553,38,2,2,1
554,33,2,1,1
555,38,0,1,2
556,16,3,0,1
557,39,0,0,2
558,33,0,1,0
559,41,1,0,3
560,28,3,1,0
561,38,3,2,0
562,31,1,0,1
563,38,0,0,0
564,19,2,0,0
565,26,3,0,3
566,20,1,0,1
567,24,3,1,0
568,26,0,0,1
569,25,0,1,0
570,24,2,2,3
571,39,3,1,2
572,39,0,1,1
573,38,3,0,0
574,37,3,1,0
575,34,2,2,1
576,37,0,0,0
577,17,3,1,1
578,23,1,1,0
579,33,0,1,0
580,30,1,2,3
581,20,3,2,0
582,30,3,2,3
583,19,0,0,0
584,35,1,2,2
585,39,1,1,0
586,39,3,2,1
587,34,1,1,1
588,36,3,2,1
589,25,2,0,0
590,35,1,1,1
591,23,0,2,1
592,28,2,2,1
593,36,1,1,3
594,41,0,1,1
595,35,2,0,2
596,19,3,1,2
597,38,1,0,1
598,18,3,2,2
599,40,1,0,1
600,17,0,0,1
601,22,3,1,0
602,29,2,0,0
603,34,2,1,1
604,18,1,2,3
605,34,1,1,3
606,40,3,2,3
607,41,0,0,0
608,25,3,1,1
609,18,1,0,2
610,17,1,2,3
611,40,0,1,0
612,20,3,1,0
613,29,0,2,0
614,27,0,1,0
615,40,0,0,2
616,33,3,2,0
617,17,0,1,3
618,34,2,2,0
619,33,0,0,2
620,20,1,2,0
621,27,3,2,0
622,37,1,2,3
623,19,0,2,0
624,39,0,0,0
625,25,0,0,0
626,21,0,1,1
627,36,1,0,0
628,18,2,0,0
629,36,1,0,2
630,35,1,2,0
631,22,3,1,1
632,26,0,1,2
633,27,2,2,2
634,33,3,1,0
635,30,3,2,0
636,16,1,2,1
637,21,3,0,2
638,18,2,2,1
639,35,1,0,1
640,36,2,0,0
641,40,1,2,1
642,37,3,0,0
643,38,2,1,0
644,23,2,2,1
645,31,1,0,0
646,18,0,0,2
647,35,3,1,1
648,34,2,0,2
649,39,3,0,3
650,29,0,2,1
651,19,3,2,3
652,39,2,1,3
653,23,1,1,3
654,31,0,0,0
655,25,1,2,3
656,28,2,2,1
657,38,0,0,0
658,37,3,1,0
659,38,2,1,2
660,32,1,0,1
661,29,2,0,1
662,36,2,0,0
663,17,2,2,1
664,38,3,0,1
665,22,2,0,0
666,41,1,2,1
667,16,1,2,0
668,29,0,2,0
669,38,2,1,2
670,36,2,0,1
671,36,1,2,1
672,20,3,2,0
673,20,2,1,0
674,33,1,0,3
675,16,1,0,1
676,20,1,1,0
677,33,1,0,3
678,39,1,2,0
679,30,1,1,2
680,30,3,2,1
681,32,1,2,0
682,40,3,2,2
683,37,0,0,2
684,36,0,1,3
685,21,0,2,0
686,26,3,2,2
687,31,0,0,2
688,16,3,1,1
689,17,2,2,1
690,31,0,1,3
691,21,3,1,2
692,25,1,1,1
693,18,0,2,0
694,30,0,2,3
695,21,1,1,0
696,29,0,0,1
697,17,2,2,0
698,26,0,2,3
699,22,2,2,0
700,20,2,1,1
701,28,2,2,0
702,23,0,1,3
703,33,3,1,0
704,19,1,2,2
705,29,1,1,2
706,31,2,1,0
707,30,0,0,2
708,17,3,1,0
709,28,1,1,3
710,20,2,1,0
711,28,2,2,3
712,16,3,1,0
713,36,2,0,2
714,22,0,1,1
715,20,0,1,1
716,25,2,0,1
717,27,0,1,2
718,37,2,1,1
719,28,2,1,0
720,27,3,0,0
721,32,2,1,0
722,17,1,2,0
723,21,3,0,1
724,39,1,1,1
725,21,2,1,3
726,21,0,2,2
727,16,3,0,2
728,39,0,2,2
729,40,0,0,3
730,30,1,1,1
731,39,2,0,0
732,25,0,1,1
733,19,3,1,3
734,26,2,2,0
735,18,2,0,2
736,21,1,2,1
737,34,3,0,2
738,32,1,2,3
739,27,0,1,0
740,23,0,2,1
741,28,0,2,1
742,34,3,1,2
743,16,3,0,1
744,40,1,0,0
745,40,1,0,3
746,19,1,1,2
747,21,0,1,0
748,33,2,2,0
749,30,3,0,0
750,21,1,1,3
751,19,3,2,0
752,39,1,2,1
753,20,1,1,1
754,31,1,0,2
755,37,1,0,0
756,17,1,2,1
757,26,2,2,2
758,32,2,2,1
759,25,2,1,0
760,20,1,2,1
761,39,0,2,3
762,19,2,2,0
763,22,3,2,3
764,33,2,1,1
765,24,2,2,2
766,29,0,1,0
767,27,1,0,1
768,21,2,0,0
769,16,1,2,0
770,37,2,1,3
771,19,0,2,2
772,22,2,1,0
773,36,2,2,2
774,22,1,1,3
775,23,2,0,3
776,41,3,1,0
777,22,3,2,2
778,25,0,1,3
779,41,2,0,3
780,37,3,2,3
781,31,1,0,1
782,31,2,2,2
783,26,2,0,3
784,36,3,2,3
785,34,2,1,2
786,35,3,2,1
787,30,0,2,1
788,31,1,2,2
789,24,3,1,0
790,21,3,0,0
791,30,1,2,3
792,40,0,2,1
793,33,1,0,0
794,20,0,0,0
795,23,1,1,1
796,21,0,1,0
797,24,2,2,3
798,26,2,2,2
799,30,0,0,2
800,31,2,1,1
801,36,1,2,0
802,31,3,0,2
803,32,2,1,1
804,30,3,0,2
805,19,1,1,1
806,35,1,2,0
807,33,3,0,2
808,35,3,1,3
809,16,0,0,0
810,34,1,0,1
811,22,1,2,1
812,22,3,1,3
813,21,3,1,1
814,30,0,2,1
815,32,1,0,3
816,30,3,1,1
817,39,3,1,1
818,29,2,1,2
819,30,0,1,2
820,26,1,2,3
821,27,2,0,1
822,22,2,1,0
823,30,2,1,1
824,22,1,1,1
825,19,0,0,2
826,22,0,1,2
827,19,1,2,0
828,18,3,1,2
829,31,0,2,0
830,33,2,2,1
831,23,3,2,0
832,29,2,1,0
833,30,1,2,2
834,18,0,1,0
835,30,0,0,1
836,22,3,0,1
837,40,2,1,1
838,30,0,1,2
839,41,3,1,0
840,39,1,0,1
841,24,2,2,3
842,35,1,2,2
843,25,1,1,1
844,35,1,1,1
845,30,2,1,0
846,35,2,2,1
847,28,0,0,0
848,33,0,1,3
849,27,3,2,1
850,20,3,2,1
851,18,0,2,0
852,30,3,1,0
853,29,3,0,2
854,19,3,1,2
855,41,2,1,0
856,23,3,2,1
857,30,0,1,0
858,41,0,1,1
859,39,1,0,0
860,24,3,2,1
861,21,1,2,0
862,31,3,1,2
863,27,2,0,3
864,35,0,1,0
865,39,2,0,2
866,17,2,1,1
867,39,2,1,1
868,31,3,2,1
869,28,2,0,1
870,30,2,2,3
871,34,1,2,0
872,23,0,0,0
873,25,1,1,0
874,21,1,0,1
875,26,3,1,0
876,25,0,1,2
877,22,0,2,1
878,40,1,2,2
879,39,2,2,0
880,34,3,2,1
881,21,2,0,1
882,28,3,2,3
883,27,3,1,0
884,39,1,1,1
885,27,2,1,2
886,21,2,1,0
887,28,1,2,2
888,25,0,1,0
889,31,3,1,3
890,34,1,1,2
891,18,1,0,0
892,34,3,2,3
893,26,2,1,0
894,17,0,1,2
895,32,2,0,0
896,23,3,0,0
897,30,0,0,0
898,38,0,0,3
899,25,1,1,3
900,37,2,1,0
901,22,1,2,1
902,38,2,1,1
903,16,3,1,0
904,16,0,1,1
905,20,1,0,0
906,37,3,0,3
907,31,0,0,1
908,25,2,2,0
909,33,2,2,2
910,40,3,1,3
911,25,0,2,0
912,24,1,2,3
913,20,0,2,2
914,21,1,2,0
915,39,1,0,3
916,40,0,2,3
917,28,1,1,1
918,19,2,1,3
919,40,2,0,0
920,28,3,0,3
921,29,1,0,1
922,20,0,1,1
923,36,3,2,0
924,17,3,0,3
925,16,0,1,0
926,33,0,0,2
927,17,0,0,0
928,30,2,2,1
929,33,0,2,0
930,30,1,2,1
931,32,3,0,1
932,24,2,1,0
933,33,3,0,0
934,38,0,1,3
935,26,1,2,0
936,21,1,1,2
937,20,0,0,1
938,32,0,2,2
939,28,0,0,3
940,18,2,2,1
941,37,1,0,1
942,38,0,1,0
943,33,0,2,0
944,32,0,1,3
945,40,1,0,1
946,36,2,0,0
947,18,1,2,1
948,24,2,2,1
949,17,0,1,3
950,37,3,2,2
951,16,2,2,3
952,39,1,0,3
953,23,2,0,1
954,27,2,1,0
955,33,2,2,2
956,37,1,2,2
957,27,0,0,2
958,29,1,2,1
959,23,1,1,0
960,31,3,2,0
961,33,2,0,1
962,18,0,0,0
963,25,1,1,0
964,19,3,1,3
965,34,1,2,0
966,18,0,2,3
967,26,2,1,0
968,31,2,0,0
969,17,2,1,1
970,18,0,2,3
971,27,2,1,1
972,17,2,2,2
973,36,2,0,1
974,24,2,1,2
975,21,3,2,0
976,23,0,2,1
977,25,2,2,0
978,18,2,1,0
979,25,1,1,0
980,30,2,1,1
981,38,0,1,2
982,30,3,1,1
983,17,0,2,0
984,18,0,0,0
985,36,2,2,0
986,29,0,2,1
987,39,1,1,0
988,28,0,0,2
989,37,1,0,1
990,33,3,1,1
991,33,1,1,0
992,24,0,1,2
993,23,0,2,0
994,37,0,0,3
995,27,3,0,0
996,38,0,2,3
997,35,3,1,0
998,17,1,1,0
999,29,0,1,2
1000,25,3,2,0
1001,27,1,0,3
1002,26,3,2,0
1003,37,2,0,2
1004,25,3,0,0
1005,19,2,2,1
1006,30,1,0,0
1007,22,1,1,0
1008,25,2,0,0
1009,35,0,0,0
1010,39,2,2,3
1011,39,2,1,0
1012,26,2,1,3
1013,35,3,2,0
1014,33,1,1,3
1015,25,0,1,0
1016,24,0,0,3
1017,34,3,0,0
1018,24,1,1,0
1019,35,1,2,0
1020,41,0,0,0
1021,37,0,0,0
1022,20,0,1,1
1023,39,0,1,1
1024,41,1,1,1
1025,36,0,1,0
1026,16,2,2,2
1027,38,0,1,2
1028,21,3,1,1
1029,36,2,1,0
1030,39,3,1,1
1031,27,2,0,3
1032,35,3,2,1
1033,21,3,2,2
1034,20,2,1,2
1035,32,2,0,3
1036,19,2,2,3
1037,26,0,1,3
1038,22,3,0,1
1039,21,0,0,1
1040,21,3,0,0
1041,32,1,0,1
1042,38,3,2,0
1043,36,2,2,3
1044,39,3,1,2
1045,17,1,1,1
1046,29,1,0,0
1047,39,0,1,1
1048,29,0,1,0
1049,20,0,0,1
1050,23,2,1,0
1051,28,2,0,2
1052,32,1,0,3
1053,16,3,2,2
1054,26,2,1,3
1055,32,0,2,1
1056,41,3,2,1
1057,23,1,1,2
1058,18,2,0,1
1059,41,2,0,1
1060,36,3,2,3
1061,35,0,0,2
1062,36,0,1,3
1063,38,1,0,1
1064,16,2,2,2
1065,41,3,1,2
1066,25,1,0,1
1067,22,2,0,3
1068,31,2,0,1
1069,32,3,1,0
1070,40,1,0,0
1071,28,2,0,1
1072,30,3,0,0
1073,31,2,0,1
1074,20,2,2,0
1075,25,0,1,1
1076,21,0,2,2
1077,27,3,1,1
1078,32,1,2,2
1079,35,2,2,3
1080,30,0,2,3
1081,40,3,0,0
1082,18,1,0,0
1083,24,1,2,2
1084,27,3,2,0
1085,32,1,2,2
1086,28,3,1,0
1087,23,1,0,1
1088,33,0,2,0
1089,20,1,2,0
1090,35,0,1,0
1091,22,3,0,2
1092,39,3,1,1
1093,25,3,0,1
1094,40,2,2,0
1095,24,0,0,0
1096,22,1,1,0
1097,29,0,2,1
1098,17,0,2,2
1099,32,0,1,0
1100,23,3,0,0
1101,36,2,0,1
1102,29,0,1,1
1103,31,3,1,0
1104,21,3,2,0
1105,33,3,1,2
1106,32,3,1,3
1107,24,3,0,2
1108,41,0,2,0
1109,37,1,2,3
1110,20,0,2,0
1111,29,0,0,0
1112,36,3,0,1
1113,39,1,1,0
1114,33,3,0,0
1115,32,1,0,1
1116,22,0,0,3
1117,24,3,2,2
1118,18,2,1,1
1119,38,1,0,1
1120,34,1,0,1
1121,39,3,2,0
1122,24,1,1,0
1123,16,2,0,1
1124,28,2,0,2
1125,30,1,1,0
1126,26,0,2,3
1127,34,0,2,2
1128,28,0,2,0
1129,19,2,2,3
1130,38,3,0,1
1131,23,2,0,0
1132,35,0,1,3
1133,22,3,1,3
1134,40,1,1,0
1135,27,1,1,0
1136,29,1,1,2
1137,32,0,2,2
1138,34,3,1,1
1139,33,3,2,0
1140,25,3,1,0
1141,22,3,1,3
1142,35,0,2,0
1143,38,1,1,0
1144,21,3,0,0
1145,33,0,1,3
1146,35,2,1,2
1147,18,0,1,3
1148,40,3,2,1
1149,32,1,2,0
1150,36,1,0,0
1151,21,3,2,1
1152,38,0,1,0
1153,37,1,0,2
1154,35,2,2,0
1155,33,0,0,0
1156,25,0,1,2
1157,18,3,2,2
1158,24,1,1,2
1159,35,2,2,0
1160,25,0,0,1
1161,38,0,0,1
1162,25,1,2,0
1163,22,0,1,3
1164,23,1,0,0
1165,35,2,1,0
1166,20,2,1,2
1167,34,2,0,3
1168,29,2,1,3
1169,31,3,0,1
1170,20,2,1,1
1171,33,2,1,1
1172,40,2,1,0
1173,20,0,1,3
1174,29,1,0,1
1175,21,3,0,2
1176,35,2,1,1
1177,30,3,2,2
1178,34,1,0,3
1179,38,2,0,3
1180,36,2,1,3
1181,29,3,0,3
1182,31,1,2,3
1183,19,1,1,0
1184,33,3,1,0
1185,28,3,2,0
1186,40,0,2,3
1187,38,2,1,0
1188,20,1,2,3
1189,40,0,0,0
1190,23,0,0,1
1191,27,2,1,0
1192,36,1,1,2
1193,22,3,0,3
1194,30,3,1,2
1195,21,2,1,0
1196,39,3,0,0
1197,31,3,1,0
1198,33,3,1,0
1199,30,3,1,2
1200,31,1,1,2
1201,38,3,1,2
1202,16,2,1,0
1203,21,1,2,1
1204,25,1,2,3
1205,34,0,2,0
1206,41,1,0,3
1207,19,1,0,1
1208,16,3,0,2
1209,37,2,0,1
1210,24,0,2,0
1211,23,2,2,3
1212,33,2,0,2
1213,35,1,1,0
1214,37,0,0,0
1215,36,1,1,1
1216,41,0,0,0
1217,26,0,2,1
1218,39,1,1,1
1219,38,2,2,1
1220,30,0,2,0
1221,19,1,0,1
1222,19,3,1,0
1223,22,0,2,0
1224,28,3,2,3
1225,21,1,1,1
1226,16,1,0,0
1227,26,2,2,3
1228,30,0,0,1
1229,23,3,2,1
1230,38,1,0,2
1231,39,0,2,0
1232,41,0,1,2
1233,37,1,0,3
1234,37,1,0,3
1235,17,2,0,0
1236,37,2,1,0
1237,39,3,2,2
1238,33,3,0,1
1239,36,0,2,0
1240,18,0,2,1
1241,25,1,1,1
1242,24,1,0,3
1243,24,1,0,3
1244,29,3,2,0
1245,18,0,2,0
1246,16,3,1,0
1247,39,0,2,0
1248,21,3,1,1
1249,39,1,1,2
1250,39,0,2,0
1251,23,2,0,1
1252,22,2,1,1
1253,17,0,2,2
1254,24,2,2,1
1255,34,0,2,2
1256,18,2,2,2
1257,34,2,2,2
1258,38,1,1,0
1259,18,3,0,2
1260,37,0,0,0
1261,17,0,1,0
1262,22,3,0,2
1263,22,0,0,3
1264,24,0,2,1
1265,26,0,2,3
1266,37,1,1,0
1267,33,3,2,0
1268,23,2,0,0
1269,19,2,2,2
1270,20,1,0,2
1271,31,3,0,1
1272,30,0,2,2
1273,36,3,0,2
1274,23,1,0,3
1275,30,3,1,0
1276,40,1,0,2
1277,41,1,0,0
1278,27,3,2,2
1279,26,0,0,2
1280,39,0,0,0
1281,23,1,0,3
1282,40,0,1,0
1283,23,2,2,0
1284,21,0,1,1
1285,19,0,2,0
1286,20,1,1,1
1287,36,3,0,0
1288,28,1,1,0
1289,20,1,0,1
1290,30,3,2,0
1291,33,1,0,1
1292,34,2,1,2
1293,33,1,1,3
1294,20,0,2,3
1295,34,2,0,1
1296,20,3,2,3
1297,20,2,2,0
1298,39,3,1,0
1299,34,0,0,0
1300,36,3,2,1
1301,26,1,2,3
1302,24,3,1,3
1303,29,1,1,2
1304,17,1,2,0
1305,39,0,2,3
1306,16,3,1,0
1307,16,1,2,0
1308,38,2,0,3
1309,22,2,0,0
1310,26,3,1,0
1311,21,1,0,0
1312,32,3,1,0
1313,32,0,0,1
1314,16,3,0,2
1315,28,0,1,0
1316,26,0,1,3
1317,19,0,0,1
1318,23,2,2,0
1319,31,0,2,0
1320,34,1,2,1
1321,26,1,0,3
1322,26,3,2,1
1323,20,0,2,3
1324,21,1,2,3
1325,35,3,0,2
1326,27,3,2,3
1327,25,1,0,0
1328,35,2,1,1
1329,29,0,1,3
1330,31,2,0,0
1331,34,0,0,3
1332,20,3,1,0
1333,28,2,0,2
1334,35,1,1,2
1335,34,3,0,1
1336,30,0,1,2
1337,24,1,2,2
1338,29,0,1,0
1339,27,1,2,3
1340,39,3,2,3
1341,28,0,1,1
1342,41,1,0,2
1343,36,2,0,2
1344,40,2,0,1
1345,25,0,2,1
1346,21,1,0,3
1347,31,2,1,3
1348,21,1,0,3
1349,29,1,2,1
1350,33,1,1,1
1351,24,3,0,1
1352,25,3,2,0
1353,36,2,0,0
1354,18,3,0,2
1355,16,3,1,0
1356,41,1,0,0
1357,24,0,1,2
1358,39,2,2,1
1359,39,1,2,2
