,Age,Catagory,Size,Color,year,month,day
62,41.0,0.0,1.0,2.0,2022.0,2.0,16.0
63,30.0,3.0,0.0,2.0,2019.0,8.0,23.0
64,17.0,2.0,1.0,1.0,2019.0,2.0,20.0
65,38.0,0.0,0.0,0.0,2019.0,9.0,11.0
66,29.0,0.0,2.0,1.0,2021.0,9.0,30.0
67,25.0,2.0,1.0,0.0,2019.0,8.0,16.0
68,36.0,3.0,2.0,2.0,2021.0,1.0,29.0
69,23.0,0.0,0.0,3.0,2019.0,6.0,4.0
70,39.0,0.0,2.0,1.0,2020.0,5.0,22.0
71,18.0,1.0,1.0,0.0,2019.0,9.0,5.0
72,33.0,3.0,0.0,0.0,2021.0,12.0,4.0
73,39.0,3.0,1.0,0.0,2022.0,3.0,19.0
74,40.0,3.0,2.0,1.0,2019.0,10.0,24.0
75,26.0,3.0,0.0,1.0,2021.0,12.0,14.0
76,39.0,1.0,1.0,1.0,2020.0,3.0,18.0
77,31.0,1.0,0.0,0.0,2018.0,11.0,6.0
78,33.0,1.0,0.0,2.0,2019.0,8.0,26.0
79,21.0,1.0,1.0,0.0,2021.0,8.0,28.0
80,37.0,1.0,2.0,0.0,2021.0,11.0,1.0
81,16.0,3.0,2.0,0.0,2019.0,7.0,22.0
82,33.0,0.0,1.0,0.0,2018.0,9.0,9.0
83,21.0,1.0,1.0,1.0,2022.0,8.0,25.0
84,17.0,2.0,0.0,2.0,2022.0,3.0,6.0
85,27.0,2.0,0.0,2.0,2022.0,2.0,22.0
86,34.0,2.0,0.0,3.0,2020.0,2.0,13.0
87,19.0,1.0,1.0,0.0,2020.0,2.0,29.0
88,33.0,3.0,2.0,1.0,2020.0,10.0,23.0
89,23.0,0.0,0.0,2.0,2019.0,5.0,21.0
90,41.0,3.0,1.0,0.0,2022.0,4.0,5.0
91,22.0,3.0,1.0,1.0,2021.0,3.0,21.0
92,37.0,3.0,0.0,1.0,2020.0,3.0,13.0
93,34.0,1.0,0.0,0.0,2018.0,6.0,5.0
94,39.0,3.0,1.0,2.0,2022.0,2.0,11.0
95,20.0,2.0,2.0,3.0,2021.0,6.0,16.0
96,21.0,0.0,2.0,0.0,2022.0,10.0,1.0
97,22.0,2.0,1.0,3.0,2021.0,8.0,24.0
98,31.0,0.0,0.0,2.0,2020.0,7.0,25.0
99,41.0,0.0,1.0,3.0,2020.0,7.0,22.0
100,34.0,2.0,1.0,0.0,2021.0,12.0,21.0
101,35.0,1.0,0.0,1.0,2018.0,11.0,17.0
102,28.0,3.0,0.0,1.0,2020.0,6.0,13.0
103,26.0,2.0,1.0,1.0,2022.0,11.0,9.0
104,23.0,3.0,1.0,2.0,2022.0,2.0,16.0
105,18.0,2.0,1.0,2.0,2018.0,10.0,13.0
106,28.0,1.0,0.0,0.0,2022.0,1.0,3.0
107,24.0,1.0,2.0,1.0,2019.0,11.0,12.0
108,16.0,3.0,1.0,1.0,2018.0,11.0,5.0
109,21.0,1.0,0.0,0.0,2022.0,6.0,4.0
110,30.0,3.0,1.0,0.0,2022.0,6.0,16.0
111,16.0,0.0,1.0,1.0,2022.0,3.0,6.0
112,27.0,2.0,0.0,1.0,2022.0,8.0,19.0
113,39.0,2.0,1.0,0.0,2021.0,7.0,6.0
114,22.0,0.0,0.0,3.0,2022.0,5.0,30.0
115,19.0,0.0,0.0,2.0,2019.0,3.0,30.0
116,41.0,2.0,1.0,0.0,2018.0,8.0,22.0
117,38.0,1.0,1.0,2.0,2020.0,12.0,5.0
118,30.0,0.0,2.0,2.0,2021.0,5.0,24.0
119,40.0,1.0,1.0,0.0,2022.0,8.0,30.0
120,34.0,2.0,0.0,2.0,2021.0,10.0,6.0
121,25.0,0.0,0.0,0.0,2022.0,3.0,4.0
122,18.0,3.0,2.0,1.0,2020.0,3.0,30.0
123,39.0,1.0,1.0,2.0,2022.0,1.0,8.0
124,24.0,0.0,1.0,0.0,2018.0,3.0,13.0
125,31.0,3.0,1.0,3.0,2019.0,4.0,11.0
126,23.0,3.0,2.0,0.0,2020.0,3.0,10.0
127,36.0,2.0,1.0,1.0,2021.0,1.0,20.0
128,38.0,2.0,0.0,0.0,2019.0,12.0,15.0
129,33.0,0.0,1.0,2.0,2022.0,10.0,14.0
130,33.0,0.0,1.0,3.0,2022.0,12.0,28.0
131,36.0,3.0,0.0,0.0,2022.0,8.0,11.0
132,34.0,1.0,0.0,0.0,2018.0,8.0,2.0
133,17.0,1.0,2.0,1.0,2022.0,4.0,26.0
134,33.0,3.0,1.0,0.0,2020.0,12.0,30.0
135,36.0,2.0,2.0,3.0,2021.0,6.0,22.0
136,34.0,1.0,1.0,2.0,2022.0,11.0,14.0
137,28.0,2.0,0.0,0.0,2019.0,11.0,21.0
138,18.0,1.0,1.0,3.0,2019.0,8.0,1.0
139,18.0,0.0,1.0,2.0,2021.0,3.0,29.0
140,16.0,1.0,0.0,2.0,2018.0,4.0,14.0
141,31.0,2.0,0.0,0.0,2022.0,11.0,13.0
142,34.0,2.0,1.0,0.0,2019.0,12.0,24.0
143,17.0,1.0,1.0,2.0,2018.0,4.0,12.0
144,29.0,2.0,1.0,0.0,2022.0,12.0,1.0
145,16.0,1.0,2.0,0.0,2020.0,11.0,11.0
146,23.0,2.0,2.0,2.0,2020.0,8.0,11.0
147,33.0,3.0,1.0,1.0,2019.0,6.0,25.0
148,31.0,1.0,2.0,0.0,2022.0,8.0,9.0
149,23.0,1.0,0.0,2.0,2022.0,2.0,27.0
150,30.0,1.0,0.0,0.0,2021.0,5.0,9.0
151,35.0,0.0,1.0,0.0,2020.0,7.0,29.0
152,38.0,1.0,2.0,3.0,2020.0,8.0,13.0
153,32.0,2.0,2.0,1.0,2018.0,10.0,17.0
154,18.0,1.0,2.0,2.0,2020.0,10.0,10.0
155,39.0,0.0,0.0,0.0,2020.0,9.0,26.0
156,16.0,0.0,0.0,3.0,2022.0,6.0,10.0
157,29.0,1.0,1.0,2.0,2019.0,7.0,14.0
158,28.0,2.0,0.0,0.0,2019.0,3.0,1.0
159,21.0,0.0,1.0,2.0,2018.0,8.0,3.0
160,38.0,2.0,2.0,0.0,2022.0,6.0,18.0
161,29.0,0.0,2.0,3.0,2020.0,6.0,9.0
162,25.0,3.0,0.0,3.0,2020.0,3.0,8.0
163,18.0,3.0,0.0,1.0,2018.0,6.0,11.0
164,36.0,0.0,0.0,0.0,2021.0,8.0,10.0
165,26.0,0.0,1.0,0.0,2020.0,10.0,16.0
166,32.0,1.0,2.0,2.0,2020.0,7.0,17.0
167,21.0,3.0,2.0,0.0,2021.0,3.0,18.0
168,19.0,2.0,2.0,2.0,2021.0,9.0,24.0
169,32.0,3.0,2.0,1.0,2020.0,3.0,22.0
170,27.0,1.0,2.0,0.0,2022.0,12.0,8.0
171,19.0,0.0,2.0,1.0,2022.0,2.0,14.0
172,40.0,1.0,0.0,2.0,2021.0,2.0,17.0
173,24.0,1.0,2.0,1.0,2019.0,5.0,18.0
174,24.0,0.0,2.0,2.0,2022.0,12.0,16.0
175,20.0,1.0,1.0,2.0,2022.0,9.0,20.0
176,41.0,3.0,1.0,0.0,2021.0,2.0,1.0
177,36.0,1.0,2.0,1.0,2019.0,11.0,21.0
178,29.0,2.0,0.0,0.0,2021.0,9.0,21.0
179,40.0,1.0,1.0,2.0,2020.0,2.0,22.0
180,27.0,3.0,0.0,2.0,2020.0,7.0,8.0
181,41.0,0.0,2.0,3.0,2021.0,11.0,22.0
182,41.0,2.0,0.0,1.0,2019.0,6.0,27.0
183,18.0,3.0,0.0,1.0,2018.0,9.0,3.0
184,38.0,3.0,1.0,1.0,2021.0,5.0,19.0
185,31.0,0.0,0.0,0.0,2022.0,1.0,24.0
186,40.0,3.0,1.0,0.0,2021.0,4.0,20.0
187,33.0,1.0,2.0,1.0,2019.0,5.0,30.0
188,25.0,1.0,1.0,0.0,2018.0,1.0,17.0
189,39.0,0.0,1.0,0.0,2022.0,1.0,12.0
190,30.0,0.0,1.0,2.0,2022.0,6.0,25.0
191,38.0,2.0,2.0,0.0,2021.0,5.0,22.0
192,19.0,0.0,1.0,1.0,2019.0,5.0,17.0
193,33.0,3.0,0.0,1.0,2021.0,6.0,9.0
194,30.0,1.0,0.0,2.0,2021.0,3.0,9.0
195,19.0,0.0,2.0,3.0,2022.0,10.0,15.0
196,28.0,2.0,1.0,1.0,2021.0,11.0,1.0
197,23.0,0.0,0.0,2.0,2020.0,8.0,30.0
198,19.0,2.0,1.0,0.0,2020.0,1.0,29.0
199,30.0,1.0,0.0,0.0,2021.0,8.0,24.0
200,38.0,0.0,0.0,2.0,2018.0,5.0,18.0
201,39.0,2.0,0.0,2.0,2019.0,2.0,5.0
202,23.0,1.0,0.0,0.0,2019.0,3.0,10.0
203,17.0,2.0,2.0,3.0,2019.0,10.0,16.0
204,21.0,1.0,1.0,2.0,2022.0,6.0,5.0
205,40.0,3.0,2.0,1.0,2020.0,12.0,5.0
206,33.0,2.0,2.0,3.0,2019.0,2.0,17.0
207,38.0,3.0,0.0,0.0,2020.0,12.0,19.0
208,37.0,0.0,1.0,0.0,2019.0,9.0,15.0
209,26.0,1.0,1.0,3.0,2021.0,9.0,25.0
210,36.0,2.0,2.0,3.0,2021.0,6.0,21.0
211,35.0,2.0,0.0,2.0,2022.0,10.0,9.0
212,33.0,1.0,2.0,3.0,2022.0,2.0,1.0
213,29.0,1.0,2.0,0.0,2019.0,5.0,6.0
214,25.0,2.0,1.0,2.0,2020.0,9.0,11.0
215,22.0,1.0,2.0,2.0,2022.0,8.0,3.0
216,28.0,3.0,2.0,3.0,2022.0,10.0,27.0
217,40.0,3.0,1.0,2.0,2019.0,1.0,5.0
218,16.0,1.0,1.0,1.0,2019.0,6.0,13.0
219,30.0,0.0,0.0,1.0,2018.0,6.0,7.0
220,33.0,0.0,0.0,1.0,2021.0,9.0,7.0
221,37.0,1.0,1.0,0.0,2021.0,8.0,22.0
222,37.0,1.0,1.0,0.0,2019.0,3.0,19.0
223,24.0,1.0,2.0,1.0,2022.0,2.0,5.0
224,36.0,2.0,2.0,0.0,2020.0,8.0,7.0
225,24.0,1.0,1.0,2.0,2019.0,11.0,27.0
226,32.0,2.0,2.0,0.0,2021.0,12.0,13.0
227,21.0,1.0,1.0,0.0,2019.0,2.0,28.0
228,23.0,2.0,2.0,0.0,2022.0,12.0,12.0
229,18.0,2.0,0.0,2.0,2021.0,4.0,20.0
230,25.0,3.0,2.0,0.0,2022.0,9.0,22.0
231,36.0,3.0,1.0,0.0,2022.0,8.0,6.0
232,34.0,0.0,2.0,0.0,2020.0,11.0,2.0
233,40.0,1.0,1.0,1.0,2020.0,3.0,24.0
234,27.0,3.0,2.0,0.0,2018.0,12.0,25.0
235,27.0,1.0,2.0,0.0,2019.0,3.0,26.0
236,27.0,2.0,0.0,2.0,2021.0,9.0,10.0
237,36.0,0.0,0.0,1.0,2022.0,1.0,15.0
238,29.0,3.0,2.0,3.0,2022.0,10.0,3.0
239,21.0,3.0,2.0,0.0,2018.0,4.0,17.0
240,39.0,3.0,0.0,0.0,2020.0,1.0,12.0
241,25.0,3.0,1.0,3.0,2022.0,1.0,21.0
242,25.0,3.0,2.0,0.0,2021.0,12.0,5.0
243,29.0,3.0,0.0,2.0,2022.0,7.0,5.0
244,37.0,1.0,1.0,3.0,2021.0,7.0,28.0
245,38.0,0.0,1.0,1.0,2019.0,6.0,18.0
246,32.0,3.0,1.0,3.0,2019.0,9.0,7.0
247,21.0,2.0,2.0,3.0,2022.0,7.0,15.0
248,17.0,0.0,0.0,3.0,2022.0,9.0,13.0
249,26.0,0.0,1.0,1.0,2022.0,5.0,15.0
250,33.0,3.0,2.0,0.0,2021.0,5.0,14.0
251,24.0,0.0,0.0,1.0,2019.0,7.0,15.0
252,28.0,0.0,2.0,0.0,2021.0,4.0,12.0
253,23.0,3.0,1.0,3.0,2018.0,5.0,4.0
254,23.0,2.0,1.0,3.0,2022.0,6.0,26.0
255,40.0,2.0,2.0,0.0,2021.0,12.0,4.0
256,17.0,1.0,1.0,0.0,2018.0,7.0,9.0
257,40.0,1.0,2.0,0.0,2021.0,7.0,18.0
258,37.0,3.0,0.0,0.0,2022.0,9.0,13.0
259,34.0,2.0,2.0,2.0,2022.0,10.0,16.0
260,22.0,2.0,0.0,3.0,2019.0,7.0,21.0
261,36.0,3.0,1.0,3.0,2020.0,2.0,2.0
262,28.0,1.0,1.0,1.0,2019.0,4.0,30.0
263,22.0,3.0,1.0,0.0,2020.0,5.0,13.0
264,26.0,2.0,0.0,0.0,2020.0,6.0,5.0
265,17.0,2.0,0.0,2.0,2022.0,6.0,21.0
266,17.0,1.0,2.0,0.0,2018.0,11.0,10.0
267,41.0,2.0,1.0,1.0,2018.0,5.0,18.0
268,25.0,3.0,2.0,2.0,2022.0,3.0,27.0
269,40.0,0.0,0.0,0.0,2019.0,12.0,22.0
270,35.0,0.0,2.0,2.0,2019.0,11.0,28.0
271,38.0,0.0,1.0,0.0,2021.0,7.0,21.0
272,38.0,0.0,1.0,1.0,2022.0,10.0,24.0
273,34.0,1.0,2.0,1.0,2021.0,9.0,18.0
274,19.0,0.0,1.0,3.0,2019.0,8.0,28.0
275,36.0,2.0,0.0,3.0,2022.0,5.0,5.0
276,16.0,3.0,0.0,3.0,2021.0,2.0,8.0
277,25.0,0.0,1.0,0.0,2020.0,6.0,28.0
278,23.0,0.0,1.0,1.0,2022.0,4.0,12.0
279,29.0,3.0,0.0,2.0,2019.0,8.0,10.0
280,20.0,0.0,1.0,2.0,2018.0,9.0,12.0
281,22.0,0.0,1.0,1.0,2019.0,10.0,27.0
282,18.0,2.0,1.0,2.0,2022.0,11.0,9.0
283,22.0,3.0,0.0,1.0,2021.0,8.0,6.0
284,30.0,1.0,0.0,0.0,2020.0,9.0,18.0
285,25.0,1.0,1.0,2.0,2020.0,3.0,5.0
286,40.0,0.0,0.0,3.0,2018.0,4.0,12.0
287,39.0,3.0,0.0,0.0,2022.0,10.0,22.0
288,24.0,2.0,0.0,0.0,2021.0,6.0,3.0
289,23.0,3.0,0.0,0.0,2022.0,8.0,6.0
290,31.0,2.0,2.0,1.0,2020.0,10.0,30.0
291,28.0,3.0,2.0,2.0,2020.0,9.0,3.0
292,40.0,2.0,1.0,3.0,2018.0,5.0,29.0
293,26.0,3.0,1.0,2.0,2018.0,8.0,25.0
294,17.0,1.0,2.0,0.0,2022.0,10.0,29.0
295,29.0,1.0,0.0,3.0,2020.0,3.0,17.0
296,37.0,0.0,1.0,0.0,2022.0,6.0,17.0
297,27.0,3.0,0.0,0.0,2020.0,6.0,11.0
298,27.0,0.0,2.0,3.0,2019.0,10.0,5.0
299,29.0,2.0,1.0,0.0,2019.0,4.0,13.0
300,40.0,2.0,2.0,0.0,2022.0,4.0,9.0
301,18.0,0.0,2.0,2.0,2019.0,10.0,7.0
302,35.0,1.0,1.0,3.0,2020.0,7.0,12.0
303,28.0,0.0,1.0,2.0,2019.0,8.0,18.0
304,32.0,3.0,1.0,0.0,2022.0,9.0,25.0
305,27.0,2.0,2.0,1.0,2019.0,2.0,24.0
306,20.0,1.0,2.0,0.0,2022.0,7.0,16.0
307,25.0,2.0,2.0,0.0,2020.0,1.0,18.0
308,17.0,3.0,0.0,0.0,2021.0,2.0,10.0
309,24.0,3.0,1.0,1.0,2020.0,1.0,4.0
310,39.0,3.0,1.0,2.0,2021.0,7.0,3.0
311,29.0,3.0,1.0,3.0,2019.0,9.0,9.0
312,20.0,1.0,1.0,0.0,2018.0,11.0,17.0
313,33.0,0.0,2.0,2.0,2019.0,3.0,30.0
314,36.0,1.0,0.0,0.0,2022.0,11.0,8.0
315,32.0,2.0,0.0,0.0,2018.0,10.0,12.0
316,32.0,0.0,2.0,1.0,2019.0,6.0,24.0
317,16.0,3.0,2.0,1.0,2019.0,1.0,9.0
318,19.0,1.0,1.0,3.0,2019.0,1.0,7.0
319,27.0,3.0,1.0,2.0,2020.0,4.0,27.0
320,39.0,0.0,2.0,2.0,2021.0,7.0,24.0
321,34.0,2.0,2.0,2.0,2019.0,6.0,12.0
322,21.0,1.0,2.0,3.0,2020.0,3.0,16.0
323,23.0,3.0,1.0,0.0,2019.0,8.0,2.0
324,36.0,3.0,2.0,0.0,2022.0,1.0,10.0
325,31.0,1.0,0.0,0.0,2021.0,2.0,11.0
326,28.0,0.0,0.0,2.0,2021.0,6.0,6.0
327,25.0,3.0,1.0,3.0,2019.0,3.0,30.0
328,18.0,0.0,0.0,0.0,2021.0,11.0,30.0
329,28.0,3.0,0.0,1.0,2020.0,10.0,14.0
330,34.0,3.0,2.0,1.0,2022.0,10.0,26.0
331,27.0,2.0,2.0,3.0,2019.0,5.0,2.0
332,36.0,1.0,2.0,2.0,2019.0,6.0,1.0
333,22.0,2.0,0.0,0.0,2019.0,6.0,3.0
334,19.0,0.0,2.0,0.0,2021.0,9.0,29.0
335,22.0,0.0,1.0,2.0,2020.0,5.0,29.0
336,24.0,0.0,2.0,2.0,2019.0,7.0,19.0
337,16.0,1.0,2.0,2.0,2018.0,3.0,18.0
338,35.0,2.0,2.0,2.0,2021.0,6.0,18.0
339,29.0,1.0,1.0,2.0,2022.0,1.0,18.0
340,38.0,2.0,1.0,2.0,2022.0,4.0,27.0
341,32.0,2.0,1.0,1.0,2018.0,12.0,13.0
342,36.0,3.0,1.0,2.0,2021.0,6.0,16.0
343,30.0,0.0,0.0,3.0,2021.0,1.0,12.0
344,34.0,0.0,0.0,0.0,2022.0,10.0,16.0
345,33.0,0.0,1.0,0.0,2020.0,8.0,1.0
346,34.0,2.0,2.0,0.0,2021.0,8.0,28.0
347,26.0,3.0,0.0,0.0,2021.0,4.0,10.0
348,22.0,2.0,2.0,0.0,2021.0,5.0,28.0
349,36.0,3.0,0.0,2.0,2021.0,7.0,17.0
350,37.0,2.0,1.0,0.0,2021.0,6.0,15.0
351,31.0,3.0,2.0,1.0,2019.0,8.0,15.0
352,29.0,3.0,0.0,2.0,2021.0,4.0,11.0
353,20.0,1.0,1.0,2.0,2020.0,7.0,9.0
354,35.0,1.0,1.0,0.0,2020.0,3.0,6.0
355,18.0,1.0,2.0,0.0,2022.0,8.0,7.0
356,40.0,2.0,0.0,1.0,2019.0,6.0,10.0
357,22.0,2.0,1.0,0.0,2020.0,3.0,7.0
358,21.0,1.0,0.0,3.0,2018.0,1.0,11.0
359,20.0,3.0,2.0,0.0,2020.0,8.0,26.0
360,41.0,1.0,0.0,1.0,2018.0,7.0,2.0
361,20.0,0.0,2.0,2.0,2022.0,5.0,14.0
362,37.0,3.0,1.0,2.0,2019.0,5.0,21.0
363,18.0,0.0,1.0,2.0,2021.0,8.0,18.0
364,32.0,0.0,0.0,0.0,2022.0,6.0,6.0
365,19.0,0.0,0.0,0.0,2020.0,4.0,27.0
366,32.0,3.0,0.0,3.0,2022.0,7.0,18.0
367,41.0,0.0,1.0,3.0,2021.0,6.0,11.0
368,37.0,1.0,1.0,2.0,2020.0,11.0,2.0
369,31.0,2.0,1.0,0.0,2021.0,11.0,20.0
370,16.0,3.0,0.0,1.0,2022.0,1.0,22.0
371,27.0,0.0,1.0,0.0,2020.0,7.0,1.0
372,24.0,1.0,2.0,3.0,2020.0,3.0,7.0
373,26.0,0.0,1.0,0.0,2022.0,8.0,22.0
374,26.0,0.0,1.0,0.0,2019.0,7.0,13.0
375,40.0,1.0,2.0,0.0,2018.0,9.0,15.0
376,32.0,1.0,0.0,1.0,2020.0,4.0,19.0
377,31.0,1.0,1.0,3.0,2021.0,5.0,24.0
378,32.0,2.0,2.0,0.0,2021.0,4.0,27.0
379,24.0,2.0,1.0,2.0,2021.0,10.0,10.0
380,28.0,0.0,1.0,2.0,2019.0,12.0,28.0
381,17.0,1.0,0.0,0.0,2019.0,8.0,24.0
382,18.0,1.0,1.0,0.0,2019.0,11.0,4.0
383,32.0,3.0,1.0,0.0,2019.0,10.0,22.0
384,33.0,0.0,0.0,1.0,2021.0,12.0,18.0
385,18.0,1.0,0.0,0.0,2020.0,2.0,11.0
386,20.0,3.0,1.0,3.0,2021.0,4.0,6.0
387,23.0,1.0,0.0,3.0,2021.0,7.0,19.0
388,18.0,3.0,0.0,0.0,2019.0,1.0,27.0
389,31.0,2.0,1.0,3.0,2019.0,9.0,19.0
390,19.0,0.0,0.0,0.0,2020.0,5.0,15.0
391,27.0,1.0,1.0,2.0,2020.0,12.0,7.0
392,18.0,0.0,0.0,0.0,2020.0,9.0,13.0
393,36.0,0.0,1.0,0.0,2020.0,4.0,20.0
394,36.0,1.0,1.0,0.0,2020.0,10.0,12.0
395,21.0,2.0,2.0,0.0,2021.0,9.0,1.0
396,25.0,3.0,1.0,3.0,2019.0,12.0,30.0
397,23.0,3.0,0.0,1.0,2019.0,10.0,2.0
398,23.0,3.0,2.0,1.0,2019.0,8.0,8.0
399,37.0,2.0,1.0,0.0,2019.0,8.0,25.0
400,32.0,1.0,0.0,3.0,2019.0,5.0,21.0
401,41.0,0.0,2.0,0.0,2020.0,2.0,2.0
402,24.0,2.0,2.0,1.0,2020.0,6.0,29.0
403,24.0,1.0,2.0,0.0,2022.0,9.0,27.0
404,31.0,1.0,2.0,2.0,2022.0,7.0,6.0
405,22.0,2.0,2.0,3.0,2019.0,8.0,4.0
406,35.0,1.0,0.0,1.0,2020.0,9.0,18.0
407,40.0,0.0,0.0,3.0,2019.0,10.0,4.0
408,40.0,3.0,0.0,1.0,2022.0,6.0,21.0
409,41.0,2.0,0.0,2.0,2020.0,7.0,13.0
410,19.0,0.0,1.0,1.0,2022.0,11.0,30.0
411,24.0,2.0,0.0,2.0,2019.0,6.0,27.0
412,34.0,3.0,2.0,1.0,2018.0,6.0,1.0
413,31.0,2.0,1.0,3.0,2021.0,11.0,20.0
414,23.0,1.0,0.0,1.0,2019.0,4.0,30.0
415,29.0,3.0,1.0,1.0,2018.0,8.0,25.0
416,29.0,3.0,1.0,3.0,2022.0,1.0,14.0
417,16.0,2.0,0.0,0.0,2021.0,5.0,15.0
418,39.0,0.0,1.0,1.0,2018.0,6.0,15.0
419,25.0,0.0,2.0,1.0,2022.0,3.0,29.0
420,36.0,2.0,1.0,2.0,2021.0,5.0,4.0
421,36.0,0.0,2.0,1.0,2020.0,2.0,16.0
422,25.0,0.0,2.0,0.0,2022.0,3.0,24.0
423,16.0,1.0,2.0,0.0,2021.0,12.0,10.0
424,38.0,0.0,1.0,0.0,2020.0,7.0,7.0
425,35.0,1.0,1.0,2.0,2022.0,6.0,19.0
426,27.0,1.0,2.0,3.0,2019.0,11.0,18.0
427,34.0,1.0,1.0,0.0,2021.0,10.0,8.0
428,41.0,3.0,2.0,3.0,2022.0,7.0,5.0
429,38.0,1.0,2.0,0.0,2022.0,7.0,30.0
430,25.0,2.0,2.0,0.0,2019.0,5.0,10.0
431,28.0,0.0,1.0,2.0,2020.0,10.0,22.0
432,38.0,2.0,0.0,0.0,2020.0,7.0,6.0
433,24.0,3.0,0.0,0.0,2019.0,3.0,1.0
434,36.0,2.0,0.0,1.0,2019.0,9.0,14.0
435,37.0,3.0,1.0,2.0,2022.0,3.0,29.0
436,33.0,2.0,2.0,2.0,2022.0,1.0,14.0
437,29.0,2.0,0.0,2.0,2018.0,11.0,2.0
438,16.0,3.0,2.0,0.0,2021.0,5.0,20.0
439,36.0,3.0,1.0,1.0,2019.0,6.0,19.0
440,32.0,3.0,2.0,3.0,2022.0,4.0,17.0
441,21.0,2.0,1.0,2.0,2020.0,4.0,2.0
442,29.0,3.0,0.0,2.0,2022.0,7.0,27.0
443,20.0,1.0,2.0,2.0,2019.0,5.0,7.0
444,25.0,2.0,1.0,0.0,2022.0,2.0,21.0
445,34.0,1.0,1.0,0.0,2019.0,12.0,19.0
446,33.0,2.0,0.0,0.0,2022.0,8.0,14.0
447,34.0,3.0,2.0,3.0,2021.0,10.0,22.0
448,30.0,3.0,2.0,0.0,2019.0,4.0,7.0
449,19.0,2.0,0.0,3.0,2020.0,2.0,12.0
